rank	url	creation	try	date	buildername
69	https://x.com/staysaasy/status/1837812645946126560	If AI is helping people code better, why aren't products getting better?	https://www.youtube.com/embed/KhDvFNefvuU?si=xWWtKewSZe3V1j7i	9/22/2024	breck
70	https://classysoftware.io/chat-analysis/	A tool to analyze Hacker News sentiment on any term in seconds	https://www.youtube.com/embed/2eac5XZesgA?si=NDql-yhNEJIH6ykb	9/22/2024	breck
4	https://www.dirtcheapgold.com/	Dirt Cheap Gold – Find the cheapest gold prices	https://www.youtube.com/embed/thCLXuZvinM?si=PVXWAEHKcl3uRRtl	9/22/2024	breck
71	https://laike9m.com/blog/no-one-builds-in-public,160/	It's probably time to rethink "Building in public"	https://www.youtube.com/embed/10SIY3jEA6o?si=-6WwfJddlYvvy9Qk	9/22/2024	breck
6	https://time-flies.koenvangilst.nl/	Time Flies	https://www.loom.com/embed/0a1e86e9725c49c4945169e4da219a8a?sid=22426841-de3f-47f5-86a1-fb537432a438	9/21/2024	steph
5	https://unswt.com/	Unswt – Free AI Sugar Tracker Using Meal Photos	https://www.loom.com/embed/28059cba3a1045d0bfb20651d53c2f18?sid=72530eaf-0bda-4665-acfa-7c48131c08c5	9/21/2024	steph
3	https://jetup.io/exclusive/	Real Senior Dev from $4.9/HR	https://www.loom.com/embed/379baab086cb445a9422d50cb36e05ee?sid=8cfb48fa-88d1-417e-8e48-c3e051788e5c	9/21/2024	steph
2	https://nuenki.app/	Nuenki - Learn a language while you browse the web	https://www.loom.com/embed/e65c7323b3cd4f03a89ceb9f199c68b7?sid=5808f1f4-2ee4-49df-96cb-97b738f3053a	9/21/2024	steph
1	https://ebookany.com/	A tool to easily convert any web page into an eBook	https://www.loom.com/embed/8a62fe079f9948818156006468f800b3?sid=14f5d67c-37f6-4467-bc2b-8c73ce30ffff	9/21/2024	steph
72	https://youtubetranscriptoptimizer.com/	YouTube Transcript Optimizer – Turn Videos into Polished Documents	https://www.loom.com/embed/b863ae3195d54f8cbe1c9931c8d96b0e?sid=11529b69-02c3-46cf-ae8f-346bb0c19f6b	9/21/2024	breck
73	https://github.com/g-udi/gaudiBar.widget	Craft Your Perfect Dev Environment	https://www.loom.com/embed/e02ff9d493c3423c8f6a986711ca7c88?sid=f4c15a3a-404a-45bd-851e-5917d8f66bf9	9/21/2024	breck
74	https://www.gamesinprogress.com/	GamesInProgress – Discover and follow indie game developers	https://www.loom.com/embed/b6d3309dffe942c9bf5093b64323196d?sid=9148c264-4e0a-44f7-ba5f-0efcb00029d7	9/21/2024	breck
75	https://aimathgpt.forit.ai/	I made a O1 AI math that turns F's into A+'s overnight	https://www.loom.com/embed/85e585a96bc44f5995bbca790191c7c0?sid=57ccade0-d54f-448c-8cb6-f1c735e7e099	9/21/2024	breck
76	https://hn-pm.me/login	Private Messages for Hacker News Builders	https://www.loom.com/embed/064bd4b9865845e9a055f7138dfc1a3d?sid=6bf557aa-f9ba-48bd-a213-8820dd523cc2	9/21/2024	breck
6	https://time-flies.koenvangilst.nl/	Time Flies	https://www.loom.com/embed/2d712cdacc91471d828d9f91ffbdb479?sid=7ea5c983-3d57-4522-ad5d-c89b2a7ca89f	9/21/2024	breck
